"collection","period_label"
"Archivio Luisa Vertova","18th century"
"Fototeca Stefano Tumidei","18th century"
"Luigi Salerno research papers","18th century"
"Fototeca Stefano Tumidei","15th century"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century"
"Fototeca Fahy","15th century"
"Archivio Luisa Vertova","15th century"
"John Pope-Hennessy papers","15th century"
"Fototeca Zeri","15th century"
"Gustav Ludwig-Vermächtnis","15th century"
"Fototeca Julian Kliemann","15th century"
"Archivio Luisa Vertova","19th century"
"Archivio Luisa Vertova","neoclassicism"
"Fototeca Stefano Tumidei","neoclassicism"
"Fototeca Fahy","14th century"
"Nachlass Richard Krautheimer","Renaissance"
"Nachlass Wolfgang Lotz","Renaissance"
"Leo Steinberg research papers","Renaissance"
"Fototeca Julian Kliemann","Renaissance"
"Nachlass Ernst Steinmann","Renaissance"
"John Pope-Hennessy papers","Renaissance"
"Nachlass Cornelius von Fabriczy","Renaissance"
"Fondo Aby Warburg","Renaissance"
"Fototeca Zeri","Renaissance"
"Nachlass Werner Cohn","Renaissance"
"Ulrich Middledorf papers","Renaissance"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","Renaissance"
"Fototeca Fahy","Renaissance"
"Archivio Luisa Vertova","Renaissance"
"Fototeca Stefano Tumidei","Renaissance"
"Nachlass Wolfgang Lotz","16th century"
"Nachlass Kurt Badt","16th century"
"Archivio Luisa Vertova","16th century"
"Fototeca Zeri","16th century"
"Gustav Ludwig-Vermächtnis","16th century"
"Julius S. Held papers","16th century"
"Fototeca Julian Kliemann","16th century"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","16th century"
"Fototeca Fahy","16th century"
"Fototeca Stefano Tumidei","16th century"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","17th century"
"Archivio Luisa Vertova","17th century"
"Fototeca Stefano Tumidei","17th century"
"Luigi Salerno research papers","17th century"
"Nachlass Wolfgang Lotz","17th century"
"Julius S. Held papers","17th century"
"Fototeca Julian Kliemann","17th century"
"Fototeca Zeri","17th century"
"Ernst Kitzinger papers, 1931-1995","Byzantine art"
"Nachlass Richard Krautheimer","Byzantine art"
"Leo Steinberg research papers","modern art"
"Nachlass Kurt Badt","Mannerism"
"Ellis K. Waterhouse notebooks and research files","Mannerism"
"Fototeca Zeri","Mannerism"
"Fototeca Julian Kliemann","Mannerism"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","Mannerism"
"Archivio Luisa Vertova","Romanticism"
"Nachlass Ulrich Middeldorf","Cold War"
"Nachlass Wolfgang Lotz","Baroque"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","Baroque"
"Ellis K. Waterhouse notebooks and research files","Baroque"
"Nachlass Richard Krautheimer","Baroque"
"Fototeca Zeri","Baroque"
"Fototeca Julian Kliemann","Baroque"
"Nachlass Kurt Badt","Baroque"
"Fototeca Stefano Tumidei","Baroque"
"Luigi Salerno research papers","Baroque"
"Ernst Kitzinger papers, 1931-1995","early Christian art and architecture"
"Nachlass Richard Krautheimer","early Christian art and architecture"
"Ernst Kitzinger papers, 1931-1995","Middle Ages"
"Nachlass Otto Lehmann-Brockhaus","Middle Ages"
"Fototeca Zeri","Middle Ages"
"Nachlass Werner Cohn","Middle Ages"
"Nachlass Kurt Badt","Middle Ages"
